,,,,,
,,,,,
Flats,2.02,11/07 13:41,11/07 13:59,Oc: 88 - 98,D11-53367-56182
Flats,1,11/07 14:05,11/07 14:35,OCs: 99 - 112,D11-56183-60662
,Pref. Scan,11/7 14:46,11/7 14:47,"Line 525,02 - OCs: 114 ",D11-60665-60698
,Obs Mode 2.02,11/7 15:18,11/07 22:19:00,OCs: 137 - 223; Missed lock point 16:11 - 16:16 and 20:36 - 20:48 (seems even the curtain closed),D11-60894-115613
,Darks,11/07 22:22,11/07 22:24,OCs: 227 - 14,D11-115680-115779
,PD,11/07 22:27,11/07 22:28,First image is a dark. OCs: 21,D11-115780-116099
,Linear Pol.,11/07 22:30,11/07 22:30,OCs: 25,D11-116100-116123
Flats,2.02,11/07 22:54,11/07 23:13,"long, OCs: 28 - 38",D11-116124-116139
,Micro. Pols.,11/07 23:32,11/07 23:33,OCs: 39,D11-118940-118963
Flats,1,11/07 23:34,11/07 23:50,Another command sent manually for ObsMode1 with etalon offset -100V to have an extra one (free gap in TL before pinhole in FS) OCs: 42 - 48,D11-118964-121203
Flats,1,11/07 23:51,12/07 0:06,Another command sent manually for ObsMode1 with etalon offset -100V to have an extra one (free gap in TL before pinhole in FS) OCs: 49 - 55,D11-121204-122535; D12-0-907
,Pinholes,12/07 0:14,12/07 0:14,OCs: 56 - 58,D12-908-913
Flats,0p,12/07/ 00:16,12/07 0:29,Commendad manually to fill the long gap in the calibration of the FS TL; OCs: 59 - 63,D12-914-2833
,Pref. Scan,12/07 0:35,12/07 0:38,Mg + 0.2 OCs: 64 - 67,D12-2834-3113
,,,,,
,,,,,
,,Starting Time (UTC),End time (UTC),All remarks,
,AR_1,12/07 1:30,12/07 2:24,Stopped 01:36 (SUSI problem) - restart 01:41. Aborted at 2:24 before observation block.,
,Blocks,Starting Time (UTC),End time (UTC),Individual Remarks,IDs
,Pref. Scan,12/07 1:33,12/07 1:35,Mg + 0.2 OCs: 103 - 106,D12-3150-3429
,Darks,12/07 1:43,12/07 1:45,OCs: 108 - 157,D12-3432-3531
,PD,12/07 1:48,12/07 1:49,OCs: 158-161,D12-3532-3853
,Straylight,12/07 1:49,12/07 1:50,OCs: 162,D12-3852-3931
,Linear Pol.,12/07 1:55,12/07 1:55,OCs: 163-165,D12-3932-3955
,Micro. Pols.,12/07 1:55,12/07 1:55,OCs: 166-168,D12-3956-3979
,Pinholes,12/07 1:56,12/07 1:56,Ocs: 169-171. ,D12-3980-3985
Flats,1,12/07 1:57,12/07 2:11,"OCs: from 172 - 178; Interrupted as curtain was closed at 02:00, interruption of TL at 02:10, Thumbnail OCs 177 at 01:59 is already dark -- the first repetition could be fine, from the second one it should be ""dark"" thumbnails keep coming in, but from OCs 173 - 178 thumbnails are dark, from 02:11  then abort due to missing HK. Should take out image 4476 (pinhole) ",D12-3986-6225
Flats,2.02,12/07 2:12,12/07 2:20,"OC:179-183.  thumbnails are dark, from 02:11  then abort due to missing HK.",D12-6226-7421
,,,,,
,,,,,
,,Starting Time (UTC),End time (UTC),All remarks,
,AR_1,12/07 2:50,12/07 3:28,Abort after flat field (3:38) because batteries are not charging and power drops quickly,
,Blocks,Starting Time (UTC),End time (UTC),Individual Remarks,IDs
,Pref. Scan,12/07 2:53,12/07 2:56,Mg + 0.2 - OCs: 15 - 18,D12-7438-7717
,Darks,12/07 2:59,12/07 3:01,OCs: 20 - 64,D12-7720-7819
,PD,12/07 3:04,12/07 3:05,First image is a dark. OCs: 70 ,D12-7820-8139
,Straylight,12/07 3:05,12/07 3:06,OCs: 74,D12-8140-8219
,Linear Pol.,12/07 3:11,12/07 3:11,OCs: 75 - 77,D12-8220-8243
,Micro. Pols.,12/07 3:11,12/07 3:11,OCs: 78 ,D12-8244-8267
,Pinholes,12/07 3:12,12/07 3:12,OCs:81 - 83,D12-8268-8273
,1,12/07 3:12,12/07 3:27,OCs: 84 - 90,D12-8274-10513
,,,,,
,,,,,
,,Starting Time (UTC),End time (UTC),All remarks,
,AR_1,12/07 7:02,12/07 15:46,Restarted after power hiccup. Things may be a little cold. Optical quality may be variable. Looooooong stop after first calibration block due to pointing issues. An additional PD set was run before first observing block and after pointing. After first observation block loooooooooong stop again to fix some CWS bug. Last PD run by hand at the end because a jump was made in the timeline skipping the pd block. Probably bad data,
,Blocks,Starting Time (UTC),End time (UTC),Individual Remarks,IDs
,Pref. Scan,12/7 7:05,12/7 7:09,"Mg + 0.2 - OCs: 44, 45, 46, 47",D12-12713-12994
,Darks,12/07/2024 7:11,12/07 7:13,OCs: 49 - 98,D12-12995-13094
,PD,12/7 7:16,12/7 7:16,"OCs: 99, 100, 101, 102",D12-13095-13414
,Straylight,12/7 7:17,12/7 7:17,OCs: 103. ERROR 99,D12-13415-13488
,Linear Pol.,12/7 7:22,12/7 7:23,"OC: 104, 105, 106",D12-13489-13512
,Micro. Pols.,12/7 7:23,12/7 7:23,OCs: 107 - 109,D12-13513-13536
,Pinholes,12/7 7:23,12/7 7:24,OC: 110,D12-13537-13542
Flats,1,12/07 7:25,12/07 7:39,OCs: 113 - 119,D12-13543-15782
Flats,2.02,12/7 7:40,12/07 7:51,OCs: 120 - 126,D12-15783-17574
Flats,3.02,12/07 7:58,12/07 8:00,OCs: 127 - 129,D12-17575-17814
,PD,12/7 9:23,12/7 9:23,"OCs 171, 172. 173, 174. Repeated after pointing because they changed focus between cal and observation.",D12-18113-18432
,Obs Mode 1 + 2.02,12/07 9:27,12/07 11:18,"OCs: 176 -  78 Images may be defocused in some series. SUSI also reports variations in optical quality. CWS had a bug where the lock point might change during observation, the frequency of this changes is unknow. Some images may show a shift of the FoV but should be sharp.  ",D12-18435-29810
,Obs Mode 1 + 2.02,12/07 12:36,12/07 14:37,OCs 125 - 37        From 13:28 to 13:45 Autolock failed and images started appearing blurred. Lost again around 14:00 to 14:06. Pointing lost again from 14:25 to 14:30. Changes in FOV frequent,D12-29885-42056
,Darks,12/07 14:39,12/07 14:42,OCs: 39 - 88,D12-42059-42158
,Linear Pol.,12/7 14:52,12/7 14:52,OC: 89 - 91,D12-42159-42182
,Micro. Pols.,12/7 14:52,12/7 14:53,OCs : 91 - 94,D12-42183-42206
,Pinholes,12/7 14:52,12/7 14:53,OCs : 95 - 97,D12-42207-42212
Flats,1,12/07 14:53,12/07 15:08,OCs: 98 - 104,D12-42213-44452
Flats,2.02,12/07 15:10,12/07 15:26,OCs: 105  - 113.  Some flat-fields are taken with the telescope OUT of flat-field modes. ,D12-44453-46860
Flats,1,12/07 15:27,12/07 15:31,OCs: 115-116,D12-46861-47442
,PD,12/7 15:44,12/7 15:44,"OCs: 118, 119, 120, 121. This is the first PD with less images -> 32 per cam. ",D12-47445-47700
,,,,,
,,,,,
,,Starting Time (UTC),End time (UTC),All remarks,IDs
,CALPD Timeline,12/7 15:54,12/07/2024 15:54,Miror did not work. OCs: 123 - 154,D12-47703-47766
,CALPD Timeline,12/7 16:28,12/7 16:29,OCs: 173 - 205. ,D12-47787-47852
,CALPD Timeline,12/7 16:34,12/7 16:35,OCs: 209 - 244. Maybe first 2 images do not belong to tiemeline. hours unclear. ,D12-47852-47928
,,,,,
,,,,,
,,Starting Time (UTC),End time (UTC),All remarks,IDs
,PD,12/7 17:58,12/7 17:58,PD huérfano (no sé porque se tomó) OCs: 11-14,D12-48877-49132
,,,,,
,,,,,
,,Starting Time (UTC),End time (UTC),All remarks,
,QSDC_HC,12/7 18:26,12/07 19:49,Run in quiet sun. FIrst multiwavelength at 6 acc next one at 3 acc. Everything run with 200 V offset.,
,Blocks,Starting Time (UTC),End time (UTC),Individual Remarks,IDs
,Pref. Scan,12/7 18:26,12/7 18:27,Manual - pref scans (525.02) pre HC comm to check the line. OC: 59,D12-49215-49248
,Pref. Scan,12/7 18:29,12/7 18:30,Manual pref Cal pre HC (525.02) Previous was ugly so rerun it and OK. Oc: 60,D12-49249-49282
,Pref. Scan,12/7 18:38,12/07/2024 18:41,"0.6 + 0.2 - OCs: 61, 62, 63, 64",D12-49283-49554
,Darks,12/7 18:44,12/07 18:46,OCs: 66-115,D12-49557-49656
,PD,12/7 18:49,12/7 18:50,"OCs: 116, 117, 117, 118.",D12-49657-49912
,Straylight,12/7 18:50,12/7 18:50,Oc: 120,D12-49913-49992
,Linear Pol.,12/7 18:56,12/7 18:56,"Longitudinal of 0,2 and 0,6 -> Less images!!! OCs: 121, 122",D12-49993-50000
,Micro. Pols.,12/7 18:56,12/07/2024 18:57,Ocs: 123 - 125,D12-50001-50024
,Pinholes,12/7 18:57,12/7 18:57,Ocs: 126,D12-50025-50030
Flats,3.02,12/07/2024 19:00,12/7 19:14,(Theres one ff obs before that got 99 error) Starting at: 19:00. Telescope seems out of FF mode in some cases. ETALON OFFSET +200V OC: from 131 -  149,D12-50091-51610
,3.02,12/07 19:17,12/7 19:26,High Cadence Obs. Acc set to 6. Run manually command 25 with 200V offset. Oc: 153-230,D12-51633-53187
,HC_snapshot,12/07 19:28,12/07 19:37,High cadence snapshot mode. WIth 200V. OC: 231-49,D12-53188-54359
,3.02,12/07 19:39,12/07 19:48,High cadence obs. Acc set to 3. Run manually comm 25 with 200V offset. OCs: 51 - 144,D12-54360-46229
,,,,,
,,,,,
,,Starting Time (UTC),End time (UTC),All remarks,
,QSDC_HC,12/07 20:05,12/07 21:32,Run in a sunspot; pause TL 20:46 for pointing - restart 20:57,
,Blocks,Starting Time (UTC),End time (UTC),Individual Remarks,IDs
,Pref. Scan,12/7 20:09,12/7 20:11,"NOT AUTOLOCK. 0.6 + 0.2 - Ocs: 198, 199, 200, 201",D12-56283-56554
,Darks,12/07 20:15,12/07 20:17,OCs: 203 - 252,D12-56557-56656
,PD,12/7 20:20,12/7 20:20,"OCs : 253, 254, 255, 0",D12-56657-56912
,Straylight,12/7 20:21,12/7 20:22,OCs: 1,D12-56913-56992
,Linear Pol.,12/7 20:27,12/7 20:27,Longitudinal 0.2 + 0.6 OCs: 2 - 3,D12-56993-57000
,Micro. Pols.,12/7 20:27,12/7 20:27,OCs: 4-6,D12-57001-57024
,Pinholes,12/7 20:28,12/7 20:28,Oc:7,D12-57025-57030
Flats,3.02,12/07 20:29,12/07/ 20:41,(Etalon offset 200V) OCs 11- 25;  3 times flat mode in total,D12-57075-58274
,3.02,12/07 20:58,12/07 21:08,High Cadence Obs. Acc set to 6. Run manually command 25 with 200V offset. OCs: 49 - 124,D12-58352-59859
,HC_snapshot,12/07 21:12,12/07 21:19,High cadence snapshot mode. WIth 200V. OCs: 125 - 26,D12-59860-60687
,3.02,12/07 21:20,12/07 21:30,High Cadence Obs. Acc set to 6. Run manually command 25 with 200V offset. OCs: 28 - 106,D12-60688-62249
,,,,,
,,,,,
,,Starting Time (UTC),End time (UTC),All remarks,
,SUNSPOT_1,12/07 21:54,12/07 22:11,Abort at 22:11 as CWS has lost lock point for PD,
,Blocks,Starting Time (UTC),End time (UTC),Individual Remarks,IDs
,Pref. Scan,12/07 21:57,12/07 22:00,Mg + 0.6 - OCs: 109 - 112,D12-62252-62523
,Darks,12/07 22:03,12/07 22:06,OCs: 114-163,D12-62526-62625
,PD,12/07 22:08,12/07 22:09,"OCs: 164, failed, as CWS had not been locked",D12-62626-62881
,Straylight,12/07 22:09,12/07 22:11,OCs: 168 ,D12-62882-62961
,,,,,
,,,,,
,,Starting Time (UTC),End time (UTC),All remarks,
,SUNSPOT_1,12/07 22:33,13/07/2024 8:45,"Pause TL for fine-pointing to sunspot at 23:39, restart at: 00:58; interrupt TL again shortly at 01:02 with restart at 01:09. CWLS lost in the middle of obs block. Paused at 6:58 to repoint",
,Blocks,Starting Time (UTC),End time (UTC),Individual Remarks,IDs
,Pref. Scan,12/07 22:36,12/07 22:38,Mg + 0.6 - OCs 185 - 188,D12-62978-63249
,Darks,12/07 22:42,12/07 22:44,OCs: 189 - 239,D12-63252-63349
,PD,12/07 22:47,12/07 22:47,OCs: 240-243,D12-63352-63607
,Straylight,12/07 22:48,12/07 22:48,Straylight target does not appear in first images. OCs: 244.,D12-63608-63687
,Linear Pol.,12/07 22:53,12/07 22:54,OCs: 245-247,D12-63688-63711
,Micro. Pols.,12/07 22:54,12/07 22:54,OCs: 248 - 250,D12-63712-63735
,Pinholes,12/07 22:54,12/07 22:55, OCs: 251 - 253,D12-63736-63741
Flats,0s,12/07 22:55,12/07 22:59,OCs: 254 - 255.,D12-63742-64221
Flats,1,12/07 23:00,12/07 23:11,OCs: 3 - 7,D12-64222-65821
Flats,2.06,12/07 23:11,12/07 23:20,OCs: 8 - 12,D12-65822-67101
Flats,3.02,12/07 23:21,12/07 23:24,OCs: 13 - 17,D12-67102-67501
Flats,3.02,12/07 23:26,12/07 23:29,"With offset for HC TL, +200V Etalon OCs: 18 - 22",D12-67502-67901
,Obs 1 + 2.06,13/07 0:59,13/07 1:02,"OCs: 184 - 192, changed thumbnail cadence in between",D13-184-803
,Obs 1 + 2.06,13/07 1:09,13/07 3:22,"OCs: 195 -  224, 2 - 136 ; 01:19 Loss of lock point because of drop of ballast (OCs 211); Loss of reciving thumbnails leads to abort at 01:53, S/W reset and rejoin observations at 01:59; data affected by seeing",D13-868-12833
,Obs 0s + 3.02,13/07 3:59,13/07 6:02,"OCs: 196 - 204, Error 99 at 04:00, 04:02, 04:04, 04:06, 04:08 --> Abort 04:08, switch off + reset, restat manually upd 17 at 04:12 - Error 99 keeps apearing 04:13, 04:14, 04:16, then seems to dissolve itself. While we were resetting they changed the lock point. First image index provided at 4:17 OC 211. OCs: 211 - 11 Loss of lock point at 04:40 OCs: 14 - 27 until 04:64 then continued with slightly different lock point: OCs: 30 - 111, Loss of lock-point 05:18 OCs:113 - 120, Locked again 05:22 OCs: 122",D13-13236-19188
,Obs 0s + 3.02,13/07 6:26,13/07 7:46,CWS lost at 6:55 OCs: 246 - 65 (Last good OC.) E99 at 7:04 From 65 - 89 Bad.  From 92 - 96 good .  E99 at 7:09. From OC: 100 - 114. Pointing lost (again...) at 7:18 and recovered at 7:25. New 99 just after pointing (suspicious). Until OC 188,D13-19213-23536
,Darks,13/07 7:48,12/07 7:50,OCs: 189 - 238,D13-23539-23638
,PD,13/07 7:53,13/07 7:53,"FG reset before and after. OCs 239, 240, 241, 242",D13-23639-23894
,Straylight,13/07 7:54,13/7 7:55,OC:243,D13-23895-23974
,Linear Pol.,13/7 8:00,13/7 8:00,Longitudinal. 0.2 + 0.6 OCs: 244 - 245,D13-23975-23982
,Micro. Pols.,13/07/2024 8:00,13/7 8:01,OC: 246,D13-23983-24006
,Pinholes,13/07 8:01,13/7 8:01,OCs: 250.,D13-24007-24012
Flats,0s,13/07 8:02,13/07/2024 8:05,OCs: 252 - 0,D13-24013-24492
Flats,1,13/07 8:07,13/07 8:17,OCs: 1 - 5,D13-24493-26092
Flats,2.06,13/07 8:18,13/07/2024 8:26,OCs: 6 - 10,D13-26093-27372
Flats,3.02,13/07 8:27,13/07 8:30,OCs: 11 - 15,D13-27373-27772
Flats,2.06,13/07 8:31,13/07 8:38,OCs: 16 - 19 Maybe 19 is not on flat-field mode. ,D13-27773-28796
,,,,,
,,,,,
,,Starting Time (UTC),End time (UTC),All remarks,
,FS_1,13/07/2024 9:13,13/07 15:10,This time in an active region. 2.02 line changed to combination of 1 + 2.06 lines. . Obs block was stopped midway. The calibration block after observation  is different from the one on the timeline. We ran CALL_1 instead at 14:37 to shorten the block,
,Blocks,Starting Time (UTC),End time (UTC),Individual Remarks,IDs
,Darks,13/07 9:18,13/7 9:21,OCs: 33 - 82,D13-28929-29028
,PD,13/7 9:23,13/7 9:24,"Automatic without FG reset (first image is dark).  OC: 83 - 90. Something went wrong here. Last images are dark. With something blocking a part of the FoV, most likely straylight target. ",D13-29029-29540
,Linear Pol.,13/7 9:25,13/7 9:25,OCs: 91 - 93,D13-29541-29564
,Micro. Pols.,13/7 9:25,13/7 9:25,OCs: 94,D13-29565-29588
,Pinholes,13/7 9:26,13/7 9:26,OC: 98,D13-29589-29594
Flats,2.06,13/07 9:28,13/07 10:05,OCs : 101 - 114 (gap of 5 min) & 115 - 119,D13-29696-34559
Flats,2.02,13/07 10:12,13/07 10:30,OCs: 120-130,D13-34560-37375
Flats,1,13/7 10:37,13/07 11:07,OCs: 131 - 144,D13-37376-41855
Flats,1,13/07 11:08,13/07 11:12,-100V offset. OCs: 145 - 146,D13-41856-42495
,Pref. Scan,13/7 11:18,13/7 11:21,Prefilters Mg and 06. OCs: 148 - 151,D13-42626-42897
,Pref. Scan,13/7 11:25,13/07/2024 11:28,Mg + 0.2 - OCs : 152 - 155,D13-42898-43169
,PD,13/7 11:42,13/7 11:42,"Mg + 0.6 - OCs: 202, 203, 204, 205",D13-43241-43496
,Obs 1 + 2.06,13/07 11:44,13/07 14:33,"FLAAARE! Launched manually during FS_1instead of 2,02 line. OCs: 205 - 63. Reaally good data set. Autolock lost at 12:56 - OC: 66. From 13:04 Good. -> Oc : 81 - 159. Lost tracking from 13:53 (OC: 160)  to 14:13 (OC 193).    Another flare in 14:19 (OM 203)  Autolock Lost on 14:26 (214). Recovered in 14:28 (OC : 217).",D13-43497-63374
,PD,13/7 14:33,13/7 14:34,"Mg + 0.6 - OCs: 226, 227, 228, 229.",D13-63375-63630
,Darks,13/07 14:39,13/07 14:41,OCs: 231 - 24.,D13-63633-63732
,PD,13/7 14:44,13/7 14:45,"AUTOLOCK LOST Somewhere. Mg + 0.2 - OCs: 25, 26, 27, 28.",D13-63733-63988
,Straylight,13/07/2024 14:45,13/7 14:46,OC: 29,D13-63989-64068
,Linear Pol.,13/07 14:51,13/7 14:51,"OC: 30, 31, 32. ",D13-64069-64092
,Micro. Pols.,13/7 14:51,13/7 14:51,"OCs: 33, 34, 35. ",D13-64093-64116
,Pinholes,13/7 14:52,13/7 14:52,Where's the OC: 36 ? OC: 37 - 38. ,D13-64117-64122
Flats,2.02,13/07 14:53,13/07 15:01,"OCs: 39, 43",D13-64123-65402
Flats,0s,13/07 15:02,13/07 15:08,OCs: 44 - 50,D13-65403-66075
,,,,,
,,,,,
,,Starting Time (UTC),End time (UTC),All remarks,
,Flares_1,13/07 15:19,13/07 15:42,NO CAL BLOCK.,
,Blocks,Starting Time (UTC),End time (UTC),Individual Remarks,IDs
,Obs 0p + 2.02,13/07 15:19,13/07/2024 15:42,OC: 81 - 107. Last images lost autofocus.,D13-66105-68456
,,,,,
,,,,,
,,Starting Time (UTC),End time (UTC),All remarks,
,CLV_1,13/07/2024 15:49,13/07 19:30,Stopped for finepointing after calibration at 16:57 (looooooooooooooooong). Restarted obs at: 17:43 . Timeline was stopped before CALS. ,
,Blocks,Starting Time (UTC),End time (UTC),Individual Remarks,IDs
,Pref. Scan,13/7 15:52,13/7 15:55,"Mg + 0.2 - OC: 125, 126, 127, 128",D13-68473-68752
,Darks,13/07 15:58,13/07 16:01,OCs: 130 - 179,D13-68755-68854
,PD,13/7 16:03,13/7 16:04,"Mg + 0.2 - OC: 180, 181, 182, 183",D13-68855-69110
,Straylight,13/7 16:04,13/7 16:05,OCs: 184,D13-69111-69190
,Linear Pol.,13/7 16:10,13/7 16:10,OCs: 185-187,D13-69191-69215
,Micro. Pols.,13/07/2024 16:10,13/7 16:11,OCs:188,D13-69215-69239
,Pinholes,13/07/2024 16:11,13/7 16:11,OCs :  192,D13-69239-69244
Flats,0p,13/07 16:12,13/07 16:25,OCs: 194 - 198,D13-69245-71164
Flats,1,13/07 16:25,13/07 16:36,OCs: 199 - 203,D13-71165-72764
Flats,2.02,13/07 16:37,13/07 16:46,OCs: 204 - 208,D13-72765-74044
